X,Y
breakfast is the first meal of the day usually eaten in the morning,breafast
 the word in english refers to breaking the fasting period of the previous night,breafast
" various ""typical"" or ""traditional"" breakfast menus exist, with food choices varying by regions and traditions worldwide",breafast
"in old english, a regular morning meal was called morgenmete, and the word dinner, which originated from gallo-romance desjunare , referred to a meal after fasting",breafast
" around mid-13 century, that meaning of dinner faded away, and around 15th century ""breakfast"" came into use in written english to describe a morning meal",breafast
"in ancient egypt, peasants ate a daily meal, most likely in the morning, consisting of soup, beer, bread, and onions before they left for work in the fields or work commanded by the pharaohs",breafast
"the traditional breakfast believed to have been cooked in ancient egypt was fūl , baladi bread, made from emmer wheat, and falafel, and a mixture of fava beans with onions, garlic, parsley and coriander",breafast
"in greek literature, there are numerous mentions of ariston, a meal taken not long after sunrise",breafast
" the iliad notes this meal with regard to a labor-weary woodsman eager for a light repast to start his day, preparing it even as he is aching with exhaustion",breafast
 the opening prose of the 16th book of the odyssey mentions breakfast as the meal being prepared in the morning before attending to one's chores,breafast
" eventually ariston was moved to around noon, and a new morning meal was introduced",breafast
"in the post-homeric classical period of greece, a meal called akratisma was typically consumed immediately after rising in the morning",breafast
" akratisma consisted of barley bread dipped in wine , sometimes complemented by figs or olives",breafast
" or tagēnias , all words deriving from tagēnon , meaning ""frying pan""",breafast
 the earliest attested references on tagēnias are in the works of the 5th century bc poets cratinus and magnes,breafast
" another kind of pancake was staititēs , from staitinos , ""of flour or dough of spelt"", derived itself from stais , ""flour of spelt""",breafast
" athenaeus in his deipnosophistae mentions staititas topped with honey, sesame and cheese",breafast
" it was usually composed of everyday staples like bread, cheese, olives, salad, nuts, raisins, and cold meat left over from the night before",breafast
" they also drank wine-based drinks such as mulsum, a mixture of wine, honey, and aromatic spices",breafast
" 1st century latin poet martial said that ientaculum was eaten at 3:00 or 4:00 in the morning, while 16th century scholar claudius saumaise wrote that it was typically eaten at 9:00 or 10:00 a",breafast
 it seems unlikely that any fixed time was truly assigned for this meal,breafast
"roman soldiers woke up to a breakfast of pulmentus, porridge similar to the italian polenta, made from roasted spelt wheat or barley that was then pounded and cooked in a cauldron of water",breafast
"in the european middle ages, breakfast was not usually considered a necessary and important meal, and was practically nonexistent during the earlier medieval period",breafast
 monarchs and their entourages would spend a lot of time around a table for meals,breafast
 only two formal meals were eaten per day—one at mid-day and one in the evening,breafast
" the exact times varied by period and region, but this two-meal system remained consistent throughout the middle ages",breafast
"breakfast in some times and places was solely granted to children, the elderly, the sick, and to working men",breafast
